transaction_id,wallet_id,merchant_id,payment_method_id,device_id,transaction_timestamp,amount,transaction_fee,cashback,loyalty_points,status,transaction_type,location_city,currency,fraud_flag
TXN-20240106-0000001,WALL-0132611,MERCH-00016,PM-01,DEV-01,2024-01-06 12:16:54,10.43,0.0,0.2086,1,Success,Purchase,Naypyidaw,MMK,False
TXN-20240106-0000002,WALL-0076699,MERCH-00182,PM-02,DEV-04,2024-01-06 04:04:05,20.0,0.04,1.0,2,Success,Purchase,Mandalay,MMK,False
TXN-20240106-0000003,WALL-0066577,MERCH-00014,PM-01,DEV-03,2024-01-06 19:37:06,19.06,0.0,0.3812,1,Success,Purchase,Siem Reap,KHR,False
TXN-20240106-0000004,WALL-0025236,MERCH-00343,PM-04,DEV-01,2024-01-06 18:18:39,20.64,0.4129,0.0,2,Success,Bill Payment,Bangkok,THB,False
TXN-20240106-0000005,WALL-0116754,MERCH-00066,PM-01,DEV-01,2024-01-06 00:13:56,22.69,0.0,0.4538,2,Success,Purchase,Bangkok,THB,False
TXN-20240106-0000006,WALL-0021649,MERCH-00206,PM-02,DEV-01,2024-01-06 12:40:47,6.2,0.0124,0.0,0,Success,Purchase,Naypyidaw,MMK,False
TXN-20240106-0000007,WALL-0047104,MERCH-00325,PM-01,DEV-01,2024-01-06 01:47:08,147.01,0.0,0.0,14,Success,Bill Payment,Taunggyi,MMK,False
TXN-20240106-0000008,WALL-0017803,MERCH-00395,PM-04,DEV-03,2024-01-06 03:44:50,33.46,0.6692,0.0,3,Success,Purchase,Myitkyina,MMK,False
TXN-20240106-0000009,WALL-0083718,MERCH-00208,PM-02,DEV-01,2024-01-06 13:28:19,30.19,0.0604,0.0,3,Success,Purchase,Davao,INR,False
TXN-20240106-0000010,WALL-0090436,MERCH-00412,PM-03,DEV-01,2024-01-06 07:41:09,145.41,1.1633,0.0,14,Success,Payment,Colombo,LKR,False
TXN-20240106-0000011,WALL-0142791,MERCH-00027,PM-01,DEV-01,2024-01-06 19:58:38,19.05,0.0,0.381,1,Success,Purchase,Yangon,MMK,False
TXN-20240106-0000012,WALL-0022877,MERCH-00207,PM-03,DEV-01,2024-01-06 09:53:15,9.66,0.0773,0.0,0,Success,Purchase,Pune,INR,False
TXN-20240106-0000013,WALL-0122729,MERCH-00340,PM-04,DEV-03,2024-01-06 09:19:11,63.4,1.2679,0.0,6,Success,Bill Payment,Taunggyi,MMK,False
TXN-20240106-0000014,WALL-0059314,MERCH-00215,PM-02,DEV-01,2024-01-06 15:27:14,5.0,0.01,0.0,0,Success,Purchase,Lahore,MYR,False
TXN-20240106-0000015,WALL-0113786,MERCH-00410,PM-03,DEV-02,2024-01-06 15:35:43,20.0,0.16,0.0,2,Success,Payment,Jaipur,INR,False
TXN-20240106-0000016,WALL-0018108,MERCH-00168,PM-04,DEV-01,2024-01-06 19:42:03,118.38,2.3677,5.9192,11,Success,Purchase,Kathmandu,NPR,False
TXN-20240106-0000017,WALL-0026160,MERCH-00247,PM-01,DEV-02,2024-01-06 16:21:35,17.09,0.0,0.0,1,Success,Subscription,Ahmedabad,INR,False
TXN-20240106-0000018,WALL-0076578,MERCH-00116,PM-01,DEV-01,2024-01-06 19:43:54,51.39,0.0,0.0,5,Success,Purchase,Phuket,THB,False
TXN-20240106-0000019,WALL-0021682,MERCH-00393,PM-03,DEV-02,2024-01-06 16:39:31,140.28,1.1222,0.0,14,Success,Purchase,Kolkata,INR,False
TXN-20240106-0000020,WALL-0137703,MERCH-00406,PM-02,DEV-01,2024-01-06 13:01:44,85.14,0.1703,0.0,8,Success,Payment,Surabaya,IDR,False
TXN-20240106-0000021,WALL-0034766,MERCH-00216,PM-04,DEV-01,2024-01-06 20:15:09,9.02,0.1804,0.0,0,Success,Purchase,Karachi,PKR,False
TXN-20240106-0000022,WALL-0133384,MERCH-00377,PM-05,DEV-02,2024-01-06 06:59:45,120.2,0.0,0.0,12,Success,Purchase,Pathein,MMK,False
TXN-20240106-0000023,WALL-0037813,MERCH-00132,PM-03,DEV-01,2024-01-06 04:38:21,335.46,2.6836,16.7728,33,Success,Purchase,Chennai,IDR,False
TXN-20240106-0000024,WALL-0050729,MERCH-00093,PM-01,DEV-01,2024-01-06 10:05:45,41.37,0.0,0.0,4,Success,Purchase,Mandalay,MMK,False
TXN-20240106-0000025,WALL-0137173,MERCH-00068,PM-01,DEV-01,2024-01-06 16:56:18,27.56,0.0,0.5512,2,Success,Purchase,Penang,MYR,False
TXN-20240106-0000026,WALL-0021483,MERCH-00182,PM-01,DEV-01,2024-01-06 12:32:13,77.09,0.0,3.8543,7,Success,Purchase,Kathmandu,NPR,False
TXN-20240106-0000027,WALL-0018268,MERCH-00054,PM-01,DEV-01,2024-01-06 09:52:14,32.93,0.0,0.6587,3,Success,Purchase,Jakarta,IDR,False
TXN-20240106-0000028,WALL-0008771,MERCH-00013,PM-02,DEV-01,2024-01-06 06:07:45,56.01,0.112,1.1201,5,Success,Purchase,Myitkyina,MMK,False
TXN-20240106-0000029,WALL-0133974,MERCH-00118,PM-02,DEV-02,2024-01-06 09:41:01,23.03,0.0461,0.0,2,Success,Purchase,Bangkok,THB,False
TXN-20240106-0000030,WALL-0045305,MERCH-00252,PM-02,DEV-01,2024-01-06 19:12:38,10.37,0.0207,0.0,1,Success,Subscription,Naypyidaw,MMK,False
TXN-20240106-0000031,WALL-0121461,MERCH-00132,PM-04,DEV-02,2024-01-06 16:13:19,70.88,1.4177,3.5442,7,Success,Purchase,Naypyidaw,MMK,False
TXN-20240106-0000032,WALL-0043813,MERCH-00282,PM-02,DEV-01,2024-01-06 13:47:08,892.05,1.7841,71.3644,178,Success,Purchase,Pokhara,NPR,False
TXN-20240106-0000033,WALL-0086329,MERCH-00403,PM-02,DEV-01,2024-01-06 14:41:32,87.68,0.1754,0.0,8,Success,Payment,Yangon,MMK,False
TXN-20240106-0000034,WALL-0084397,MERCH-00110,PM-04,DEV-01,2024-01-06 09:27:42,124.75,2.495,0.0,12,Success,Purchase,Kolkata,MMK,False
TXN-20240106-0000035,WALL-0097324,MERCH-00087,PM-03,DEV-02,2024-01-06 23:16:59,173.16,1.3853,0.0,17,Success,Purchase,Chittagong,BDT,False
TXN-20240106-0000036,WALL-0061770,MERCH-00042,PM-01,DEV-01,2024-01-06 14:12:52,7.47,0.0,0.1493,0,Success,Purchase,Naypyidaw,MMK,False
TXN-20240106-0000037,WALL-0049405,MERCH-00036,PM-05,DEV-01,2024-01-06 09:20:48,17.19,0.0,0.3439,1,Success,Purchase,Kandy,INR,False
TXN-20240106-0000038,WALL-0131845,MERCH-00259,PM-04,DEV-04,2024-01-06 21:13:51,8.34,0.1667,0.0,0,Success,Subscription,Bali,IDR,False
TXN-20240106-0000039,WALL-0120280,MERCH-00131,PM-02,DEV-02,2024-01-06 14:22:26,40.72,0.0814,2.0362,4,Success,Purchase,Myitkyina,MMK,False
