transaction_id,wallet_id,merchant_id,payment_method_id,device_id,transaction_timestamp,amount,transaction_fee,cashback,loyalty_points,status,transaction_type,location_city,currency,fraud_flag
TXN-20240107-0000001,WALL-0120230,MERCH-00118,PM-01,DEV-01,2024-01-07 21:13:14,44.73,0.0,0.0,4,Success,Purchase,Mumbai,INR,False
TXN-20240107-0000002,WALL-0111757,MERCH-00076,PM-04,DEV-01,2024-01-07 12:01:01,15.49,0.3098,0.3098,1,Success,Purchase,Myitkyina,MMK,False
TXN-20240107-0000003,WALL-0142159,MERCH-00091,PM-02,DEV-02,2024-01-07 17:37:46,152.62,0.3052,0.0,15,Success,Purchase,Phnom Penh,KHR,False
TXN-20240107-0000004,WALL-0107189,MERCH-00319,PM-02,DEV-01,2024-01-07 05:18:40,100.4,0.2008,0.0,10,Success,Bill Payment,Karachi,PKR,False
TXN-20240107-0000005,WALL-0024892,MERCH-00361,PM-03,DEV-03,2024-01-07 21:01:40,55.26,0.4421,0.0,5,Success,Bill Payment,Pokhara,NPR,False
TXN-20240107-0000006,WALL-0113202,MERCH-00143,PM-01,DEV-02,2024-01-07 06:47:02,20.0,0.0,1.0,2,Success,Purchase,Myitkyina,MMK,False
TXN-20240107-0000007,WALL-0016919,MERCH-00065,PM-04,DEV-01,2024-01-07 04:53:41,13.98,0.2796,0.0,0,Reversed,Purchase,Mawlamyine,MMK,False
TXN-20240107-0000008,WALL-0102074,MERCH-00278,PM-01,DEV-01,2024-01-07 11:49:34,982.28,0.0,78.5825,196,Success,Purchase,Mawlamyine,MMK,False
TXN-20240107-0000009,WALL-0114262,MERCH-00390,PM-01,DEV-01,2024-01-07 13:33:28,136.45,0.0,0.0,13,Success,Purchase,Mawlamyine,MMK,False
TXN-20240107-0000010,WALL-0115394,MERCH-00346,PM-01,DEV-01,2024-01-07 15:48:14,70.02,0.0,0.0,7,Success,Bill Payment,Bago,MMK,False
TXN-20240107-0000011,WALL-0135787,MERCH-00034,PM-02,DEV-01,2024-01-07 19:15:15,19.59,0.0392,0.3918,1,Success,Purchase,Taunggyi,MMK,False
TXN-20240107-0000012,WALL-0044406,MERCH-00119,PM-04,DEV-05,2024-01-07 13:40:44,39.49,0.7897,0.0,3,Success,Purchase,Pathein,MMK,False
TXN-20240107-0000013,WALL-0088350,MERCH-00233,PM-01,DEV-01,2024-01-07 08:59:20,19.6,0.0,0.0,1,Success,Subscription,Bago,MMK,False
TXN-20240107-0000014,WALL-0128742,MERCH-00344,PM-04,DEV-03,2024-01-07 12:07:16,19.65,0.3929,0.0,1,Success,Bill Payment,Yangon,MMK,False
TXN-20240107-0000015,WALL-0112826,MERCH-00373,PM-05,DEV-01,2024-01-07 15:08:31,79.46,0.0,0.0,7,Success,Purchase,Pune,NPR,False
TXN-20240107-0000016,WALL-0092686,MERCH-00061,PM-03,DEV-01,2024-01-07 09:40:31,21.8,0.1744,0.4359,2,Success,Purchase,Pattaya,THB,False
TXN-20240107-0000017,WALL-0013159,MERCH-00011,PM-03,DEV-01,2024-01-07 07:49:26,20.82,0.1666,0.4164,2,Success,Purchase,Pathein,MMK,False
TXN-20240107-0000018,WALL-0125988,MERCH-00074,PM-03,DEV-04,2024-01-07 19:36:49,18.02,0.1441,0.3603,1,Success,Purchase,Myitkyina,MMK,False
TXN-20240107-0000019,WALL-0116029,MERCH-00117,PM-01,DEV-02,2024-01-07 20:47:23,30.19,0.0,0.0,3,Success,Purchase,Karachi,MMK,False
TXN-20240107-0000020,WALL-0087813,MERCH-00149,PM-02,DEV-01,2024-01-07 18:50:13,144.29,0.2886,7.2146,14,Success,Purchase,Jakarta,IDR,False
TXN-20240107-0000021,WALL-0100258,MERCH-00015,PM-04,DEV-02,2024-01-07 16:44:31,44.1,0.882,0.882,4,Success,Purchase,Ho Chi Minh City,VND,False
TXN-20240107-0000022,WALL-0069248,MERCH-00146,PM-01,DEV-01,2024-01-07 15:51:02,58.28,0.0,2.9141,5,Success,Purchase,Bago,MMK,False
TXN-20240107-0000023,WALL-0149377,MERCH-00196,PM-04,DEV-01,2024-01-07 08:33:43,8.69,0.1737,0.0,0,Success,Purchase,Medan,IDR,False
TXN-20240107-0000024,WALL-0101190,MERCH-00250,PM-03,DEV-02,2024-01-07 15:58:41,10.04,0.0803,0.0,1,Success,Subscription,Taunggyi,MMK,False
TXN-20240107-0000025,WALL-0128384,MERCH-00167,PM-01,DEV-01,2024-01-07 19:52:29,43.03,0.0,2.1516,4,Success,Purchase,Bago,MMK,False
TXN-20240107-0000026,WALL-0101913,MERCH-00372,PM-03,DEV-01,2024-01-07 21:18:25,99.3,0.7944,0.0,9,Success,Purchase,Taunggyi,MMK,False
TXN-20240107-0000027,WALL-0068738,MERCH-00237,PM-01,DEV-02,2024-01-07 17:26:43,19.98,0.0,0.0,1,Success,Subscription,Quezon City,PHP,False
TXN-20240107-0000028,WALL-0095234,MERCH-00407,PM-02,DEV-02,2024-01-07 23:41:16,111.09,0.2222,0.0,11,Success,Payment,Surabaya,IDR,False
TXN-20240107-0000029,WALL-0013774,MERCH-00368,PM-03,DEV-01,2024-01-07 20:10:25,63.31,0.5065,0.0,6,Success,Bill Payment,Quezon City,MMK,False
TXN-20240107-0000030,WALL-0147149,MERCH-00048,PM-02,DEV-04,2024-01-07 19:51:09,9.91,0.0198,0.1981,0,Success,Purchase,Karachi,PKR,False
TXN-20240107-0000031,WALL-0008040,MERCH-00222,PM-04,DEV-02,2024-01-07 21:39:59,15.53,0.3107,0.0,1,Success,Purchase,Bago,MMK,False
TXN-20240107-0000032,WALL-0080666,MERCH-00350,PM-03,DEV-01,2024-01-07 09:41:01,24.08,0.1926,0.0,2,Success,Bill Payment,Pathein,MMK,False
TXN-20240107-0000033,WALL-0036563,MERCH-00114,PM-01,DEV-05,2024-01-07 17:32:12,21.79,0.0,0.0,2,Success,Purchase,Mandalay,MMK,False
TXN-20240107-0000034,WALL-0093450,MERCH-00335,PM-01,DEV-02,2024-01-07 14:34:36,118.04,0.0,0.0,11,Success,Bill Payment,Karachi,PKR,False
TXN-20240107-0000035,WALL-0130157,MERCH-00102,PM-04,DEV-02,2024-01-07 18:02:07,23.16,0.4633,0.0,2,Success,Purchase,Yangon,MMK,False
TXN-20240107-0000036,WALL-0076377,MERCH-00264,PM-03,DEV-01,2024-01-07 22:22:04,18.15,0.1452,0.0,1,Success,Subscription,Penang,MYR,False
TXN-20240107-0000037,WALL-0145459,MERCH-00050,PM-01,DEV-05,2024-01-07 16:07:22,14.58,0.0,0.2916,1,Success,Purchase,Karachi,MMK,False
TXN-20240107-0000038,WALL-0051719,MERCH-00382,PM-02,DEV-01,2024-01-07 19:09:33,91.1,0.1822,0.0,9,Success,Purchase,Kolkata,INR,False
TXN-20240107-0000039,WALL-0107044,MERCH-00164,PM-05,DEV-03,2024-01-07 21:53:50,622.17,0.0,31.1084,62,Success,Purchase,Bago,MMK,False
TXN-20240107-0000040,WALL-0094060,MERCH-00063,PM-01,DEV-01,2024-01-07 03:07:07,19.27,0.0,0.3855,1,Success,Purchase,Mandalay,MMK,False
TXN-20240107-0000041,WALL-0065068,MERCH-00192,PM-04,DEV-01,2024-01-07 06:11:39,10.02,0.2004,0.0,1,Success,Purchase,Da Nang,VND,False
TXN-20240107-0000042,WALL-0066994,MERCH-00303,PM-05,DEV-01,2024-01-07 14:22:25,684.6,0.0,54.7677,136,Success,Purchase,Davao,PHP,False
TXN-20240107-0000043,WALL-0130049,MERCH-00029,PM-01,DEV-01,2024-01-07 07:13:33,8.01,0.0,0.1602,0,Success,Purchase,Mandalay,MMK,False
TXN-20240107-0000044,WALL-0089991,MERCH-00010,PM-01,DEV-01,2024-01-07 13:40:35,13.05,0.0,0.261,1,Success,Purchase,Myitkyina,MMK,False
TXN-20240107-0000045,WALL-0018069,MERCH-00176,PM-03,DEV-01,2024-01-07 21:40:02,77.93,0.6234,3.8965,7,Success,Purchase,Taunggyi,MMK,False
TXN-20240107-0000046,WALL-0149342,MERCH-00168,PM-04,DEV-01,2024-01-07 15:18:07,368.06,7.3612,18.4029,36,Success,Purchase,Cebu City,PHP,False
TXN-20240107-0000047,WALL-0135518,MERCH-00050,PM-03,DEV-01,2024-01-07 18:23:07,31.68,0.2535,0.6336,3,Success,Purchase,Yangon,MMK,False
TXN-20240107-0000048,WALL-0128252,MERCH-00109,PM-05,DEV-01,2024-01-07 21:16:07,102.07,0.0,0.0,10,Success,Purchase,Phuket,THB,False
TXN-20240107-0000049,WALL-0134626,MERCH-00009,PM-01,DEV-01,2024-01-07 18:02:45,11.14,0.0,0.2229,1,Success,Purchase,Manila,PHP,False
TXN-20240107-0000050,WALL-0030719,MERCH-00136,PM-04,DEV-01,2024-01-07 18:53:19,34.31,0.6861,1.7154,3,Success,Purchase,Delhi,INR,False
TXN-20240107-0000051,WALL-0071805,MERCH-00098,PM-02,DEV-01,2024-01-07 12:06:17,46.81,0.0936,0.0,4,Success,Purchase,Karachi,PKR,False
TXN-20240107-0000052,WALL-0067600,MERCH-00117,PM-02,DEV-01,2024-01-07 07:25:58,18.6,0.0372,0.0,1,Success,Purchase,Phnom Penh,IDR,False
TXN-20240107-0000053,WALL-0077268,MERCH-00446,PM-01,DEV-02,2024-01-07 18:04:36,200.3,0.0,0.0,20,Success,Tax Payment,Medan,IDR,False
TXN-20240107-0000054,WALL-0097168,MERCH-00283,PM-02,DEV-01,2024-01-07 12:09:08,251.3,0.5026,20.1038,50,Success,Purchase,Chennai,INR,False
TXN-20240107-0000055,WALL-0018893,MERCH-00067,PM-01,DEV-01,2024-01-07 17:00:25,19.4,0.0,0.388,1,Success,Purchase,Mawlamyine,MMK,False
TXN-20240107-0000056,WALL-0094808,MERCH-00084,PM-01,DEV-05,2024-01-07 15:43:21,200.0,0.0,0.0,20,Success,Purchase,Naypyidaw,MMK,False
TXN-20240107-0000057,WALL-0064319,MERCH-00419,PM-02,DEV-02,2024-01-07 16:47:06,48.98,0.098,0.0,4,Success,Payment,Naypyidaw,MMK,False
TXN-20240107-0000058,WALL-0060706,MERCH-00135,PM-04,DEV-03,2024-01-07 19:34:10,58.62,1.1724,2.9311,5,Success,Purchase,Jakarta,IDR,False
TXN-20240107-0000059,WALL-0028411,MERCH-00249,PM-02,DEV-02,2024-01-07 19:10:03,13.24,0.0265,0.0,1,Success,Subscription,Mumbai,INR,False
TXN-20240107-0000060,WALL-0056450,MERCH-00164,PM-02,DEV-04,2024-01-07 16:49:29,50.32,0.1006,2.5159,5,Success,Purchase,Pattaya,THB,False
TXN-20240107-0000061,WALL-0030565,MERCH-00275,PM-03,DEV-03,2024-01-07 15:48:28,100.0,0.8,8.0,20,Success,Purchase,Jaipur,INR,False
TXN-20240107-0000062,WALL-0131341,MERCH-00156,PM-01,DEV-02,2024-01-07 09:25:57,184.29,0.0,9.2145,18,Success,Purchase,Chennai,INR,False
TXN-20240107-0000063,WALL-0003370,MERCH-00321,PM-03,DEV-01,2024-01-07 15:36:21,56.38,0.4511,0.0,5,Success,Bill Payment,Surabaya,PHP,False
TXN-20240107-0000064,WALL-0106777,MERCH-00368,PM-05,DEV-05,2024-01-07 15:24:52,39.43,0.0,0.0,0,Reversed,Bill Payment,Jaipur,INR,False
TXN-20240107-0000065,WALL-0062959,MERCH-00098,PM-01,DEV-02,2024-01-07 22:08:16,88.79,0.0,0.0,8,Success,Purchase,Hyderabad,MYR,False
TXN-20240107-0000066,WALL-0032789,MERCH-00357,PM-03,DEV-03,2024-01-07 07:06:08,46.37,0.371,0.0,4,Success,Bill Payment,Johor Bahru,MYR,False
TXN-20240107-0000067,WALL-0126609,MERCH-00106,PM-01,DEV-01,2024-01-07 13:48:10,44.43,0.0,0.0,4,Success,Purchase,Colombo,PKR,False
TXN-20240107-0000068,WALL-0059419,MERCH-00094,PM-01,DEV-01,2024-01-07 18:58:52,32.87,0.0,0.0,3,Success,Purchase,Pathein,MMK,False
TXN-20240107-0000069,WALL-0107658,MERCH-00316,PM-02,DEV-04,2024-01-07 15:44:30,58.79,0.1176,0.0,5,Success,Bill Payment,Hyderabad,MMK,False
TXN-20240107-0000070,WALL-0085659,MERCH-00072,PM-01,DEV-04,2024-01-07 18:37:15,12.34,0.0,0.2467,1,Success,Purchase,Mawlamyine,MMK,False
TXN-20240107-0000071,WALL-0063462,MERCH-00392,PM-02,DEV-01,2024-01-07 16:01:34,120.0,0.24,0.0,12,Success,Purchase,Mandalay,MMK,False
TXN-20240107-0000072,WALL-0113493,MERCH-00042,PM-02,DEV-01,2024-01-07 07:57:16,13.02,0.026,0.0,0,Reversed,Purchase,Johor Bahru,MYR,False
TXN-20240107-0000073,WALL-0063584,MERCH-00215,PM-01,DEV-05,2024-01-07 17:29:17,26.39,0.0,0.0,2,Success,Purchase,Pathein,MMK,False
TXN-20240107-0000074,WALL-0006127,MERCH-00178,PM-01,DEV-03,2024-01-07 14:27:13,186.59,0.0,9.3293,18,Success,Purchase,Yangon,MMK,False
TXN-20240107-0000075,WALL-0033582,MERCH-00191,PM-05,DEV-01,2024-01-07 14:45:32,21.81,0.0,0.0,2,Success,Purchase,Kolkata,INR,False
TXN-20240107-0000076,WALL-0052265,MERCH-00032,PM-01,DEV-02,2024-01-07 20:06:06,11.94,0.0,0.2389,1,Success,Purchase,Karachi,MMK,False
TXN-20240107-0000077,WALL-0131785,MERCH-00051,PM-02,DEV-04,2024-01-07 13:29:50,10.66,0.0213,0.2132,1,Success,Purchase,Myitkyina,MMK,False
TXN-20240107-0000078,WALL-0085866,MERCH-00234,PM-01,DEV-01,2024-01-07 09:23:09,12.51,0.0,0.0,1,Success,Subscription,Yangon,MMK,False
TXN-20240107-0000079,WALL-0066134,MERCH-00399,PM-01,DEV-01,2024-01-07 20:34:33,62.2,0.0,0.0,6,Success,Purchase,Myitkyina,MMK,False
TXN-20240107-0000080,WALL-0067017,MERCH-00193,PM-03,DEV-01,2024-01-07 17:09:40,10.51,0.0841,0.0,1,Success,Purchase,Hanoi,VND,False
TXN-20240107-0000081,WALL-0107034,MERCH-00397,PM-01,DEV-01,2024-01-07 20:55:43,99.49,0.0,0.0,9,Success,Purchase,Chennai,INR,False
TXN-20240107-0000082,WALL-0012442,MERCH-00155,PM-01,DEV-02,2024-01-07 16:04:41,247.08,0.0,12.3538,24,Success,Purchase,Dhaka,BDT,False
TXN-20240107-0000083,WALL-0017493,MERCH-00381,PM-01,DEV-01,2024-01-07 16:32:04,25.3,0.0,0.0,2,Success,Purchase,Yangon,MMK,False
TXN-20240107-0000084,WALL-0094879,MERCH-00015,PM-02,DEV-01,2024-01-07 13:56:51,8.95,0.0179,0.1791,0,Success,Purchase,Khon Kaen,THB,False
TXN-20240107-0000085,WALL-0042480,MERCH-00004,PM-02,DEV-01,2024-01-07 19:47:20,36.88,0.0738,0.7377,3,Success,Purchase,Taunggyi,MMK,False
TXN-20240107-0000086,WALL-0000616,MERCH-00367,PM-01,DEV-03,2024-01-07 21:58:18,45.27,0.0,0.0,4,Success,Bill Payment,Kuala Lumpur,MYR,False
TXN-20240107-0000087,WALL-0113350,MERCH-00261,PM-02,DEV-01,2024-01-07 18:13:09,10.43,0.0209,0.0,1,Success,Subscription,Surabaya,IDR,False
TXN-20240107-0000088,WALL-0134942,MERCH-00057,PM-01,DEV-01,2024-01-07 17:09:48,17.37,0.0,0.3473,1,Success,Purchase,Pathein,MMK,False
